,RMSE,MAE,R2,MAPE,timestamp,RMSE_log,MAE_log,R2_log
random_forest,30874215.086489927,26786249.105199672,-953.5464330203534,74273.3437000744,2025-12-02 09:15:51,,,
xgboost,30086053.850390628,20645405.44335937,-905.4329104984444,85780.3082271407,2025-12-02 09:15:51,,,
lightgbm,31090122.479217388,21896208.248475675,-966.943648189508,65643.27022972907,2025-12-02 09:15:51,,,
random_forest,30874215.08648993,26786249.105199672,-953.5464330203536,74273.3437000744,2025-12-03 22:23:31,,,
xgboost,30086053.850390628,20645405.44335937,-905.4329104984444,85780.3082271407,2025-12-03 22:23:31,,,
lightgbm,31090122.479217388,21896208.248475675,-966.943648189508,65643.27022972907,2025-12-03 22:23:31,,,
random_forest,30874215.08648993,26786249.105199672,-953.5464330203536,74273.3437000744,2025-12-03 22:27:19,,,
xgboost,30086053.850390628,20645405.44335937,-905.4329104984444,85780.3082271407,2025-12-03 22:27:19,,,
lightgbm,31090122.479217388,21896208.248475675,-966.943648189508,65643.27022972907,2025-12-03 22:27:19,,,
random_forest,30874215.08648993,26786249.105199672,-953.5464330203536,74273.3437000744,2025-12-04 15:27:37,,,
xgboost,30086053.850390628,20645405.44335937,-905.4329104984444,85780.3082271407,2025-12-04 15:27:37,,,
lightgbm,31090122.479217388,21896208.248475675,-966.943648189508,65643.27022972907,2025-12-04 15:27:37,,,
random_forest,31345335.425382685,26331844.379272245,-0.1281290512745687,21590.594900225915,2025-12-05 17:49:05,,,
xgboost,50595026.6895266,45563189.128,-1.9391963439360893,31101.04418375442,2025-12-05 17:49:05,,,
lightgbm,28856386.08521409,20421210.696805622,0.0439143054951954,20080.63183927306,2025-12-05 17:49:05,,,
random_forest,257507898.1600235,100208292.02862775,-0.0329909117936286,2487.223136802769,2025-12-07 19:12:23,,,
xgboost,267731725.5500495,107766312.0,-0.1166448593139648,1741.9978962576831,2025-12-07 19:12:23,,,
lightgbm,259874243.11944023,102354819.11787295,-0.0520632913779373,2172.64083036637,2025-12-07 19:12:23,,,
random_forest,257507898.1600236,100208292.02862775,-0.0329909117936288,2487.2231368027824,2025-12-07 19:50:36,,,
xgboost,267731725.5500495,107766312.0,-0.1166448593139648,1741.9978962576831,2025-12-07 19:50:36,,,
lightgbm,259874243.11944023,102354819.11787295,-0.0520632913779373,2172.64083036637,2025-12-07 19:50:36,,,
random_forest,230979432.7184483,86415272.19584417,0.1688832915136088,3446.3406261551227,2025-12-07 20:10:35,,,
xgboost,241145765.47694632,93542456.0,0.094111680984497,1927.2080220573123,2025-12-07 20:10:35,,,
lightgbm,241265833.0012368,92931544.75881404,0.0932093376844392,2094.002737579552,2025-12-07 20:10:35,,,
xgboost,241145765.47694632,93542456.0,0.094111680984497,1927.2080220573123,2025-12-07 20:33:39,,,
random_forest,230979432.7184484,86415272.19584419,0.1688832915136087,3446.3406261551227,2025-12-07 20:59:53,,,
xgboost,241145765.47694632,93542456.0,0.094111680984497,1927.2080220573123,2025-12-07 20:59:53,,,
lightgbm,241265833.0012368,92931544.75881404,0.0932093376844392,2094.002737579552,2025-12-07 20:59:53,,,
random_forest,194212476.08651108,73941257.32276565,0.2959852291933724,4099.157582829007,2025-12-07 22:49:43,,,
xgboost,184400166.5906864,69176360.0,0.3653268218040466,4409.97820899535,2025-12-07 22:49:43,,,
lightgbm,184050984.3131841,70105598.97701378,0.3677282041691,3759.25398675086,2025-12-07 22:49:43,,,
random_forest,195421985.21730223,74094282.26970355,0.2871890507111146,4337.681935709063,2025-12-07 23:43:53,1.5625868224816972,1.0748053949049194,0.6652371240670729
xgboost,184400165.612124,69176367.69420263,0.3653268378611395,4409.166305988971,2025-12-07 23:43:53,1.537847797757802,1.0509564885253269,0.675753210028016
lightgbm,184050984.31318417,70105598.97701381,0.3677282041690998,3758.58487798315,2025-12-07 23:43:53,1.5578757568394748,1.0633707706379962,0.6672526440559505
random_forest,195421985.2173022,74094282.26970355,0.2871890507111148,4337.681935709063,2025-12-07 23:50:15,1.5625868224816972,1.0748053949049194,0.6652371240670729
xgboost,184400165.612124,69176367.69420263,0.3653268378611395,4409.166305988971,2025-12-07 23:50:15,1.537847797757802,1.0509564885253269,0.675753210028016
lightgbm,184050984.31318417,70105598.97701381,0.3677282041690998,3758.58487798315,2025-12-07 23:50:15,1.5578757568394748,1.0633707706379962,0.6672526440559505
random_forest,132150179.55703144,54787118.86063512,0.6740409557974247,5322.819353234513,2025-12-08 20:56:17,1.5306546182707608,1.013215025394982,0.6787794010734868
xgboost,137952079.65397456,54795075.38203415,0.6447909481666352,5643.331484213739,2025-12-08 20:56:17,1.5003199096823208,0.9951648771285264,0.691385220711119
random_forest,135986126.1670525,55616237.30278113,0.6548429686767672,5164.655900418576,2025-12-08 21:21:29,1.5285792615340916,1.0119717842653857,0.679649872288909
xgboost,138962600.60298505,55393893.71673924,0.6395679626480362,6710.410265843399,2025-12-08 21:21:29,1.512080930342924,1.002393042397017,0.6865277885037022
lightgbm,132508717.44989662,54371658.40738619,0.6722698313388371,6333.229237789642,2025-12-08 21:21:29,1.5337201438159016,1.0167854020008156,0.6774914605988023
random_forest,113143001.07499212,52632040.22730562,0.7098545084402366,233.7006002232534,2025-12-08 22:23:27,1.0920234174370895,0.8045232807721344,0.734463458133477
xgboost,110568292.17232874,50326217.53916832,0.722909496581309,192.1543302344224,2025-12-08 22:23:27,1.0573125428773125,0.7544253057169431,0.7510757767855591
lightgbm,103703642.19340008,48342738.20610326,0.7562478485054693,210.61965931281455,2025-12-08 22:23:27,1.0446617197729633,0.7398109082322541,0.7569969336841803
random_forest,113143001.07499218,52632040.227305636,0.7098545084402363,233.7006002232534,2025-12-10 19:19:53,1.0920234174370897,0.8045232807721346,0.734463458133477
xgboost,110568292.17232874,50326217.53916832,0.722909496581309,192.15433023442236,2025-12-10 19:19:53,1.0573125428773125,0.7544253057169431,0.7510757767855591
lightgbm,103703642.19340008,48342738.20610326,0.7562478485054693,210.61965931281458,2025-12-10 19:19:53,1.0446617197729633,0.7398109082322541,0.7569969336841803
